Respondent,Country,Employment,DevType,YearsCoding,JobSearchStatus,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,LanguageWorkedWith,Gender,Age
96,China,Employed full-time,Back-end developer;Database administrator;Front-end developer,6-8 years,"I’m not actively looking, but I am open to new opportunities",Chinese yuan renminbi (¥),2500,Weekly,19500,CNY,C#;Python,Male,18 - 24 years old
105,China,Employed full-time,Back-end developer;Full-stack developer;QA or test developer,12-14 years,"I’m not actively looking, but I am open to new opportunities",Chinese yuan renminbi (¥),550000,Yearly,85708,CNY,Perl;R;SQL,Male,35 - 44 years old
111,United States,Employed full-time,Back-end developer;Full-stack developer;System administrator,0-2 years,"I’m not actively looking, but I am open to new opportunities",U.S. dollars ($),3000,Monthly,36000,USD,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old
122,Japan,Employed full-time,Back-end developer;Embedded applications or devices developer;Full-stack developer,0-2 years,I am actively looking for a job,Japanese yen (¥),300000,Monthly,32412,JPY,JavaScript;Ruby;SQL;HTML;CSS,Male,25 - 34 years old
123,France,Employed full-time,Embedded applications or devices developer;Engineering manager,15-17 years,I am not interested in new job opportunities,Euros (€),43000,Yearly,52627,EUR,C++;Python;Bash/Shell,Male,35 - 44 years old
124,United Kingdom,Employed full-time,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,24-26 years,"I’m not actively looking, but I am open to new opportunities",British pounds sterling (£),59500,Yearly,82648,GBP,C#;Go;Java;JavaScript;Objective-C;PHP;Python;Kotlin;HTML;CSS;Bash/Shell,Male,25 - 34 years old
129,United States,Employed full-time,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Game or graphics developer;Student,6-8 years,"I’m not actively looking, but I am open to new opportunities",U.S. dollars ($),120000,Yearly,120000,USD,Assembly;C++;JavaScript;Matlab;Perl;Python;SQL;Swift;HTML;CSS,Male,18 - 24 years old
134,Poland,Employed full-time,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,I am not interested in new job opportunities,Polish złoty (zł),8500,Monthly,30000,PLN,C;C++;C#;Python;SQL,Male,25 - 34 years old
135,Romania,Employed full-time,QA or test developer,0-2 years,I am actively looking for a job,Euros (€),1800,Monthly,26436,EUR,C;Java;Python;SQL;Bash/Shell,Male,25 - 34 years old
137,India,Employed full-time,Engineering manager;Mobile developer,6-8 years,"I’m not actively looking, but I am open to new opportunities",Indian rupees (₹),2200000,Yearly,34440,INR,Objective-C;Swift,Male,25 - 34 years old
140,India,Employed full-time,Back-end developer,0-2 years,"I’m not actively looking, but I am open to new opportunities",Indian rupees (₹),22000,Monthly,4128,INR,Java;JavaScript;SQL,Male,18 - 24 years old
148,United States,Employed full-time,Front-end developer,6-8 years,"I’m not actively looking, but I am open to new opportunities",U.S. dollars ($),141625,Yearly,141625,USD,JavaScript;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old
151,United Kingdom,Employed full-time,Designer;Full-stack developer,12-14 years,I am not interested in new job opportunities,British pounds sterling (£),51183,Yearly,71095,GBP,Java;JavaScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old
153,Germany,Employed full-time,Back-end developer;QA or test developer,6-8 years,"I’m not actively looking, but I am open to new opportunities",Euros (€),2400,Monthly,35244,EUR,C#;Java;SQL;Swift;CSS,Male,25 - 34 years old
155,India,Employed full-time,Embedded applications or devices developer,3-5 years,I am actively looking for a job,Indian rupees (₹),300000,Yearly,4696,INR,C;Java,Male,25 - 34 years old
161,United States,Employed full-time,Back-end developer,9-11 years,I am not interested in new job opportunities,U.S. dollars ($),120000,Yearly,120000,USD,Go;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old
